fen,answer,reasoning
"4r2k/p3r2p/3p1p2/1p1P4/1Q6/PB1P4/1PP2PPP/R5K1 w - - 2 23","h2h3","White possesses a decisive material advantage with a Queen and Bishop against Black's two Rooks. However, White faces an immediate threat of back-rank checkmate via ...Re1#. Defending the back rank with the Queen (e.g., Qe1) would result in an unnecessary loss of material. The most prudent and effective solution is to create a flight square (""luft"") for the King. Moving the h-pawn to h3 eliminates the mating threat while preserving White's material superiority and winning position."
"r1bqn2k/pp2b1pp/2p5/4P1N1/2pP1Q2/8/PP3PPP/R4RK1 b - - 0 17","e7g5","The position features an immediate tactical threat from White's knight on g5, which targets f7 for a potential royal fork on the king and queen, while also contributing to mating attacks on the back rank. Black's best response is to capture this dangerous piece immediately with the bishop on e7. This move eliminates the tactical threats, as Black's queen on d8 adequately defends the f8 square against any back-rank checkmate attempts. Capturing the knight leaves Black with a material advantage and a safer position."
"4r2r/pp4Rk/2pp3q/4nP2/2P5/2NP2QP/PP6/6RK b - - 0 36","h6g7","The Black King on h7 is currently in check from the White Rook on g7. The King cannot move to h8 or h6 as those squares are occupied by Black's own pieces, and moving to g8 or g6 is illegal because they are controlled by the White Rook. Furthermore, the King cannot capture the Rook on g7 because it is protected by the White Queen on g3. Consequently, the only legal move available is for the Black Queen to capture the White Rook."
"r1b4k/pp1p2pp/8/3p4/8/3N1q2/PPP2P1K/4RR2 b - - 3 29","f3h5","Black is currently winning in material but faces an immediate threat of back-rank checkmate (Re8#) since the Black King on h8 is trapped by its own pawns and the White Rook on e1 controls the open file. Black must prevent this mate immediately. The most forcing and effective way to defend is to check the White King, disrupting White's plan.

The move 29... Qh5+ (f3h5) delivers a check to the White King on h2. This forces White to respond (e.g., Kg1), buying Black the necessary time to consolidate (for example, by playing h6 next to create an escape square) or continue the attack. Passive defensive moves allow White too much freedom, whereas checking seizing the initiative and capitalizes on Black's material advantage. Other checks like Qh3+ are blunders (Kxh3), but Qh5+ is safe and strong."
"6Qk/p5pp/2pp4/1p6/1b6/1P1P2PP/1qP2R2/3K1R2 b - - 0 26","h8g8","The position presents a forced sequence where the Black King is currently in check by the White Queen on g8. Upon evaluating the legal options for Black, it is evident that the King has no flight squares available, and there are no pieces capable of blocking the check or capturing the Queen from a distance. Therefore, the only legal move available to Black is to capture the White Queen with the King."
"r2k1Q1r/p1q1n3/1pP1p2p/1B1pP3/1P1P4/P4R2/8/R5K1 b - - 4 28","h8f8","The Black King is currently in check by the White Queen on f8. To continue the game, Black must address this check immediately. Analyzing the possible responses, the King has no safe squares to move to because the adjacent squares are either occupied or controlled by White's pieces (specifically the pawn on c6 covering d7 and the Queen covering the 8th rank). Blocking the check is impossible as the Queen is adjacent to the King. Consequently, the only legal option available to Black is to capture the White Queen with the Rook on h8."
"1r5k/8/5R1K/8/5p2/8/8/8 b - - 1 61","h8g8","The position shows the Black King trapped in the corner while White's King and Rook are very active. To secure the position and avoid potential mating threats on the back rank, Black must improve the King's safety. Moving the King to g8 is the most principled continuation, as it unpins the King, steps out of the corner, and maintains the drawish nature of the endgame."
"1r4k1/5p1p/2pPp2B/3p4/2b2P2/2Q5/6PP/Rq5K w - - 5 35","a1b1","The position shows the White King on h1 is in check from the Black Queen on b1. The check is delivered along the first rank. White's options are strictly limited to blocking the check with the Queen (e.g., Qc1 or Qe1) or capturing the attacking piece with the Rook (Rxb1).

Interposing with the Queen at c1 would block the line of attack but leaves the Rook at a1 undefended, allowing Black to deliver immediate checkmate with Qxa1#. Similarly, Qe1 allows Qxe1#.

Capturing the Black Queen with the move Rxb1 forces Black to recapture with the Rook (Rxb1+) to continue the attack. While this line still leads to a lost position for White (due to back-rank weakness), it forces Black to execute a longer sequence (Mate in 2) rather than allowing an immediate Mate in 1. Therefore, capturing the threat is the best legal move to prolong the game."
"k1Q5/p4ppp/Pp2b3/3p4/3P4/3q3P/1P3PP1/2R3K1 b - - 2 28","e6c8","The position shows the black king on a8 in check from the white queen on c8. The king has no legal squares to move to, as b8 is controlled by the queen and b7 is controlled by the white pawn on a6. Interposing a piece on b8 is not possible. The only legal move available to Black is to capture the checking queen with the bishop."
"1R6/3r1k2/4p3/6Q1/6p1/5p2/5P1P/6K1 w - - 6 43","g5g7","White is facing an immediate checkmate threat on d1 and must play forcefully to avoid losing. The move Qg7+ creates a decisive attack by forcing the black king to e8, which is the only legal square. This allows White to deliver checkmate on the subsequent move."
"r1q2r1k/p1pb1p1p/2pb1p2/7R/3N4/2NQ3P/PPP2PP1/R5K1 b - - 3 16","f6f5","White has an immediate threat of checkmate with Qxh7#. Black has very limited options to prevent this. The only move that effectively blocks the Queen's diagonal to h7 and prevents immediate disaster is advancing the f-pawn."
"3r2k1/5ppp/B4n2/8/b3p3/B3P3/5PPP/2R3K1 w - - 0 25","a3e7","The position is an endgame with equal material, but White possesses the advantage of the bishop pair in an open board. The move Be7 is strong as it immediately attacks the Black rook on d8 and eyes the knight on f6. This forces a response from Black, likely leading to a structural advantage for White or a favorable simplification while keeping the white pieces active."
"6k1/1b1p3p/p3p1p1/1p3r2/8/P1QP4/BP4PP/2R2q1K w - - 2 24","c1f1","The position shows the White King on h1 is currently in check by the Black Queen on f1. Since the King has no available flight squares and interposing is not possible, the only legal move to address the check is to capture the Black Queen with the White Rook situated at c1."
"2b2rk1/2b2ppp/1pPqpn2/1P1p4/7n/4PN1P/4BPP1/BN1Q1RK1 w - - 1 18","g2g3","The position presents a critical threat from Black on the kingside. Black has established a powerful battery with the Queen on d6 and the Bishop on c7, both operating on the dark-squared diagonal aiming at h2. The Black Knight on h4 adds to the danger by attacking the defending Knight on f3. The primary threat is 1... Nxf3+, removing the defender of h2. If White recaptures (e.g., 2. Bxf3 or 2. gxf3), the h2 square is left insufficiently defended against the battery, leading to 2... Qh2#.

White must address this mate threat immediately.
- The move 1. Nxh4 removes the attacker but simultaneously removes the defender of h2 (the Knight on f3 moves away), allowing an immediate 1... Qh2#. Thus, this is a blunder.
- The move 1. Ne5 effectively blocks the diagonal and attacks the Queen, but it likely leads to exchanges (e.g., 1... Bxe5 2. Bxe5) that simplify the position without punishing Black's overextension.
- The best move is 1. g3. This pawn move achieves two objectives: it physically blocks the b8-h2 diagonal, neutralizing the battery and the mate threat on h2, and it simultaneously attacks the Black Knight on h4. This forces Black to retreat the Knight or attempt an unsound sacrifice, leaving White with a solid defensive setup and the advantage of the Bishop on a1."
"2Rk4/2p5/R1Pp1p2/3Pp1p1/4P1Pp/3K3P/5P2/7r b - - 0 49","d8e7","The Black King is in check from the White Rook on c8. Black has two main options: capture the rook (Kxc8) or move the king (Ke7). If Black plays Kxc8, White plays Ra8#, resulting in checkmate because the white pawn on c6 covers the escape squares b7 and d7, and c7 is blocked. Therefore, capturing the rook is a fatal error. Moving the king to e7 removes it from the line of fire of the c8 rook, and the square e7 is not attacked by any white piece. Thus, Ke7 is the only viable move to survive."
"8/pppk4/4p3/3p4/4P3/2NP2P1/PPP4P/2q2rQK w - - 7 33","h1g2","The position shows the White King on h1 and White Queen on g1. Black has a Rook on f1 and Queen on c1. The White Queen is absolutely pinned by the Black Rook against the King. The immediate threat is Black playing Rxg1#. White has two main options to address the King's safety:
1. Qxf1: The Queen captures the pinning Rook. However, Black's Queen on c1 will recapture with Qxf1#, delivering immediate checkmate (g2 is covered, h2 is blocked).
2. Kg2 (h1g2): The King steps out of the pin to g2. Square g2 is safe because the Black Queen is on a dark square (c1) and cannot attack the light square g2, and the Rook on f1 does not control g2. While this allows Black to capture the Queen (Rxg1), it avoids the immediate mate in 1 caused by Qxf1.
Any other move allows Rxg1#. Therefore, h1g2 is the only move that prolongs the game."
"7k/7p/p6r/4rp2/8/1B3P2/P7/2K3R1 b - - 0 34","h6g6","Black is under an immediate checkmate threat on g8, where White's rook and bishop are coordinating. To survive, Black must block the g-file. The move ...Rg6 interposes the rook, preventing the mate and forcing an exchange that leaves Black with a winning material advantage."
"r6r/p1p1kp1Q/2pqbp2/2bp1P2/8/2NB4/PPP3PP/4RR1K w - - 1 18","e1e6","The position is from the famous game Steinitz vs. von Bardeleben (Hastings 1895). White plays a brilliant rook sacrifice to exploit the pinned bishop on e6 and the exposed black king. By capturing on e6 with the rook, White initiates a forced sequence. If Black captures the rook with the queen, White recaptures with the pawn, setting up a devastating discovered check after the subsequent pawn push. If Black captures with the f-pawn, the kingside collapses. In the game, the King moved, leading to a legendary chasing sequence."
"7k/r5pp/p7/3pp3/1R6/2Pq3P/1P3r2/2KB3R b - - 0 35","f2c2","Black is under the immediate threat of a back-rank mate from White's rook, but Black has a forced mating sequence starting with a rook sacrifice. By playing the rook to c2, Black delivers a check that forces White's hand; if the bishop captures, the queen delivers immediate checkmate on c2. If the king moves to b1, a series of checks involving a discovered attack leads to mate shortly thereafter."
"4R2k/1p1b4/p1p4p/3p2pN/P2q4/3B1R1P/5PPK/8 b - - 0 32","d7e8","The position shows the Black King on h8 in check from the White Rook on e8. The King cannot move to h7 because that square is controlled by the White Bishop on d3, nor can it move to g8 which is covered by the checking Rook. Blocking the check is not possible; therefore, the only legal option is to capture the Rook with the Black Bishop on d7."
"6R1/8/3N1p1p/7k/1P4n1/2P3P1/6P1/2r1rRK1 w - - 14 41","d6f5","The position allows White to execute a forced checkmate against the exposed Black King. By moving the Knight to f5, White creates an unstoppable threat of mate on g7. Black's available checks are insufficient to disrupt the attack, and there are no defensive moves to protect the critical square or provide an escape route for the King."
"5r1k/5p2/p2q3p/1p1p4/5PQ1/P1P3R1/1r4PP/3R3K b - - 1 29","d6f6","White has set up a battery on the g-file with the Queen on g4 and Rook on g3, threatening immediate checkmate on g7. Black is forced to defend against this threat. The only move that successfully prevents the mate while keeping the position playable is to bring the Black Queen to f6, blocking the line of attack and covering the critical square."
"6n1/6kp/3r1p2/5p2/2N5/5P2/6PP/1R1q3K w - - 0 46","b1d1","The White King on h1 is currently in check by the Black Queen on d1. The King has no flight squares available, and there are no pieces positioned to block the line of attack. Consequently, the only legal move to escape the check is to capture the Black Queen with the White Rook located on b1."
"r3Q1k1/3p1ppp/p7/6q1/8/8/PP3P1P/R3R2K b - - 0 24","a8e8","The Black King is currently in check from the White Queen on e8. Analyzing the board, the King has no safe squares to retreat to, and there are no pieces available to block the check. The only legal option is to capture the checking piece with the Black Rook located on a8."
"1k6/pPp5/P6r/6p1/3b4/6P1/5pK1/3R4 b - - 3 39","h6h3","The position features Black with a passed pawn on f2, ready to promote. However, White's King on g2 and Rook on d1 control the f1 square. Additionally, White threatens a back-rank mate (e.g., Rd8#) if the d-file is opened, meaning the Black Bishop on d4 is pinned to the d-file to block the White Rook.

Direct promotion with 1... f1=Q fails because of 2. Rxf1, and if Black recaptures, White's King is well-placed to capture the Black Rook (2... Rxf1 3. Kxf1). This leads to a lost endgame for Black.
The key weakness in White's position is the undefended Rook on d1. If Black promotes to a Queen on f1, the Queen attacks d1 along the first rank.

The winning move is **1... Rh3!!**.
This move offers the Rook as a sacrifice to the White King.
- If White accepts with **2. Kxh3**, Black plays **2... f1=Q+**. The Queen on f1 delivers check to the King on h3 (via the f1-h3 diagonal) and simultaneously attacks the undefended Rook on d1. White must move the King, allowing **3... Qxd1**, winning decisive material.
- If White declines the sacrifice and moves the King (e.g., **2. Kf3** to stay close), the King is forced away from g2 and can no longer protect f1. Black follows with **2... f1=Q**, and after the exchange **3. Rxf1 Rxf1**, the White King is too far away to recapture. Black emerges up a whole Rook.
- Other moves for White, such as 2. Rh1, lose to 2... Rxh1 followed by promotion."
"8/8/6kp/2p5/1r6/8/6PP/2R4K w - - 0 43",c2c5,"Captures the hanging pawn on c5."
"r1b1r1k1/p1p1q3/2p2p1p/3p2p1/3P4/2P3P1/P1P1BPPB/R3K2R w KQ - 0 17",d3g6,"Checks the King and forks the Rook on e8 (after ...e7g7 g6e8)."
"5rk1/pp2n1pp/4pr2/4p3/4P3/2P1P3/PPQ3RP/4RqK1 w - - 0 21",e1f1,"Forced capture of the Queen to avoid immediate checkmate."
"r1b2rk1/pp3ppp/2p5/3P4/B6q/2N1Q2P/PPP2PP1/R5K1 b - - 0 16",h4a4,"Captures the undefended Bishop on a4."
"r1bqkbnr/pp1npppp/2pp4/7Q/2BPP3/8/PPP2PPP/RNB1K1NR b KQkq - 3 4",g7g6,"Blocks the Scholar's Mate threat on f7."
"rn1Q3k/6pp/ppp2b2/8/P6q/2P5/BP3PPP/R1B1R1K1 b - - 0 18",f6d8,"Captures the Queen and eliminates the back-rank mate threat on e8."
"r3k2r/1b3ppp/1p2p3/2p1P1B1/B7/b3P3/5PPP/3R1RK1 b kq - 1 17",b7c6,"Blocks the check; capturing the Bishop (a8a4) allows forced back-rank mate via d1d8."
"r2r2k1/5b2/6p1/2p1Q3/1p2P1N1/5P2/pPP3P1/1K3B2 w - - 0 29",b1a1,"King hides on a1 to avoid checkmate threats from the Black Rook and Pawn."
"rn2Q1kr/pppb1ppp/1b1p3n/8/2PP4/2N2NP1/PP3PBP/R3R1K1 b - - 7 14",a8e8,"Captures the Queen; taking with the Bishop (d7e8) allows a forced back-rank mate."
"k5nr/ppp2qb1/8/3bN1p1/6Qp/4P2P/PPP2PPB/3K1B1R b - - 6 24",d5e6,"Develops the Bishop to defend the c8 square against the threatened mate."
"6k1/3QRr1p/pp4p1/q7/P7/5bP1/1P3P1P/6K1 w - - 0 25",e7e8,"Checks the King and forces a winning sequence or checkmate."
"2r1Q1k1/5ppp/2p5/1p4B1/p7/3P4/r4PPP/3KR3 b - - 1 28",c8e8,"Forced capture to prolong the game against inevitable mate."
"2r2rk1/p3nppp/1p6/4Pbq1/1P1Q4/P3PB2/3R2PP/5RK1 b - - 4 24",c8d8,"Skewers the White Queen, forcing a trade or loss of material while seizing the d-file."
"3rr1k1/6pp/1R6/p3pP2/P7/8/2P1qPPP/4R1K1 w - - 0 29",b6b1,"Defends the back rank (e1); capturing the Queen (e1e2) leads to mate via d8d1."
"r2Q2k1/1p3ppp/p3bnq1/2p1p3/2P1P1P1/P1N4P/1P3PB1/3RK2R b K - 0 20",g6e8,"Blocks the check and trades Queens; capturing leads to back-rank mate."
"k7/pb1r1ppp/1p1Bp3/4P3/3P4/5N1P/q4PP1/2Q3K1 b - - 0 23",b7f3,"Captures the Knight; White's back rank threats are not currently decisive."
"4r1k1/1r3ppp/p7/1pp5/4QP2/P3P3/1P4PP/1R1R2K1 b - - 0 23",b7b8,"Defends the e8 Rook to prevent back-rank mate; taking the Queen (e8e4) is a blunder."
"r3Q1k1/ppp2ppp/1q6/3p4/8/8/PPPN1PPP/R3R1K1 b - - 0 17",a8e8,"Forced capture to prevent immediate checkmate."
"r4q1k/p2PbQpp/2p5/3p4/8/2P5/P5PP/R1B4K w - - 1 20",f7f8,"Captures the Queen to simplify into a winning endgame."
"5rk1/1q4p1/4p1Qp/p2pP3/P1nP4/4n3/4N1PP/1R4K1 w - - 0 30",h2h3,"Creates a flight square (h2) to avoid back-rank mate; capturing the Queen (b1b7) allows ...f8f1."
"4Q2k/6pp/p5b1/1p6/3P2Pq/7P/P1P4K/2R2R2 b - - 0 28",g6e8,"Captures the Queen, removing the check and winning material."
"r4rk1/pb2nppp/1p2p3/3q4/2pP4/2P1QN2/P1P1BPPP/1R1R2K1 w - - 4 16",f3g5,"Threatens e2f3 to trap the Black Queen or force favorable exchanges."
"2kQ4/ppprn3/7p/3R2p1/8/P7/6PP/3R2K1 b - - 0 29",d7d8,"Captures the Queen and defends the d-file."
"r4Q1k/1p1b2pp/p1q5/8/1P6/P1N1n3/4B1PP/R4R1K b - - 2 25",a8f8,"Forced capture to escape immediate check, though mate follows."
"8/1Q3p1k/2P3pp/p4q2/P7/5pP1/1P3P1P/6K1 w - - 2 35",b7f7,"Checks the King and advances the c-pawn, creating counter-threats."
"r2q1r1k/ppp1b1p1/2np3B/3Bp3/PP6/3P1N1b/2PQ1PP1/R4RK1 b - - 0 15",f8f3,"Sacrifices the exchange to destroy White's King safety and remove a defender."
"2Q1r1k1/6bp/8/1p2q3/8/P2Bp3/1P6/1K1R2R1 w - - 1 35",c8e8,"Deflects the Black Queen from the mating threat on b2."
"6k1/p3bpp1/2p1p2p/q1Pp4/P2Pn3/4PN2/2Q2PPP/1N4K1 w - - 1 21",f3d2,"Challenges the centralized Knight and prepares to develop."
"2r3k1/Qp2ppbp/6p1/6P1/3Pp2P/4P3/PP3P1B/K1q3R1 w - - 5 26",g1c1,"Forced capture of the Queen to prevent immediate loss, though mate follows."
"2kr4/ppp2ppp/5b2/4p3/2N2n2/1PP2P1P/P3NP2/R2r1K1R w - - 5 18",a1d1,"Forced capture to escape the back-rank mate threat."
"2rr3k/5p1p/4pp2/p1p5/3P2q1/1P1Q3R/P4PPP/R5K1 b - - 3 30",f6f5,"Blocks the diagonal to prevent the threatened checkmate on h7."
"1r1r3k/p4pb1/7p/2p1P3/7P/5N1B/PP4Q1/K2q2R1 w - - 4 28",g1d1,"Forced capture of the Queen to prevent back-rank mate."
"3r2k1/p3p2p/5bp1/4p3/8/N1P5/PP1r1PPP/1R3RK1 w - - 4 19",a3c4,"Attacks the active Rook and brings the Knight into play."
"r1bqkbnr/p2p1ppp/1p2p3/2p1P1N1/2P5/5Q2/PPP2PPP/RNB1K2R b KQkq - 1 9",g8h6,"Develops the Knight to defend the f7 square against checkmate."
"r1b1k3/pp1q1p2/1bpp1P2/6p1/2B1P3/2P2QP1/PP4Kr/3R1R2 w q - 0 22",g2h2,"Captures the Rook; the follow-up check is covered by the White Queen."
"r2q1rk1/p4pp1/1pn2N1p/3p4/3P4/3Q4/PPB2PPP/R4RK1 b - - 0 16",d8f6,"Captures the Knight to delay the inevitable mate on h7."
"r1b1r1k1/ppp2ppp/8/3R4/8/P4n2/4BPPP/R1B3K1 w - - 0 17",g2f3,"Captures with the pawn to avoid the back-rank mate allowed by bishop capture."
"2rq1rk1/p3bpp1/1p2pN1p/4n3/3P4/3Q1P2/PPB2P1P/R4RK1 b - - 4 18",e7f6,"Forced capture; other moves allow immediate mate."
"2r3k1/p2b1pp1/7p/4p3/4B3/P2P4/5PPP/1R4K1 w - - 1 22",h2h3,"Creates a flight square for the King to prevent back-rank mate."
"r4rk1/ppp2ppp/2n5/3p4/3P2b1/2PQP3/PPBB1K2/R5Nq b - - 2 23",h1h2,"Checks the King and keeps the initiative to prevent White's mate threat."
"r1b2rk1/4b1pp/p1p5/3pq3/3N4/8/PPP1Q1PP/R1B4K w - - 0 18",c1e3,"Develops the Bishop to block the back rank and defend against the threat."
8/1R6/6pk/1P6/pr5P/6K1/8/8 b - - 0 50,a4a3,"Black pushes the passed pawn a4a3 to create a decisive promotion threat that White's rook cannot easily stop without losing the race against the b-pawn."
6k1/6p1/3P3p/3r4/p4p2/8/PP3PPP/4R1K1 w - - 1 36,e1e8,"White plays e1e8 check forcing g8f7. This allows White to then push d6d7. If Black tries to mate with d5d1, White can retreat e8e1 to block."
8/6k1/p5p1/8/1N6/1P2PB2/1r3PPP/2R3K1 w - - 3 42,b4a6,"White captures the undefended pawn with b4a6, winning material while maintaining a safe position."
r1bq1rk1/pppn1ppp/3bp3/8/3PQ3/3B1N2/PPP2PPP/R1B1K2R b KQ - 0 9,d7f6,"Black plays d7f6 to block the mate threat on h7 while simultaneously developing a piece and attacking the White queen."
4r1k1/1p6/p5p1/2N2pp1/1P1P4/P4bP1/5P1P/3R2K1 w - - 3 26,d1c1,"White's rook is under attack by the bishop; d1c1 moves the rook to safety and controls the open c-file."
4Q3/pp4pk/1p1P1prp/1P6/P7/5n1P/1B3P1P/RN5K w - - 1 28,e8e1,"White must play e8e1 to defend the g1 square against the imminent g6g1 checkmate threat."
4r1k1/p4ppp/1p1P1n2/1Qp1r3/2P5/5B2/3R1PPP/3R2K1 w - - 5 24,d2e2,"White plays d2e2 to trade rooks or defend the e-file, preventing Black's threatened back-rank mate e5e1."
2r2rk1/pQ3p1p/3Rn1p1/8/4P3/8/PP6/K1qR4 w - - 2 25,d1c1,"White is in check; the only legal move is d1c1 capturing the queen, though mate c8c1 follows shortly."
r3kb1r/ppqn1pp1/2p1p3/7p/2PP2nB/2N2B1P/PP3PP1/R2Q1RK1 w kq - 1 13,h4g3,"White retreats the bishop to h4g3 to avoid exchange and solidify the kingside defense against Black's aggression."
2r3k1/p4ppp/1p6/4r3/1P1Rp3/1P5P/6P1/R5K1 b - - 0 29,e4e3,"Black pushes the passed pawn e4e3 to advance toward promotion, utilizing the rook's support."
r3r1k1/pQ4pp/2p2p2/3p4/2P2B2/8/P4NPP/2R1q2K w - - 1 26,c1e1,"White captures the queen with c1e1 to stop the back-rank mate threat."
5k2/5p2/R4P1p/7n/3r4/7P/P5K1/8 b - - 1 49,f8g8,Black moves the king to f8g8 to step out of the potential back-rank mating net threatened by White's rook.
r2qkb1r/1b3p1p/2p3p1/1p1pP3/p2P1Q2/P3B2P/BPP3P1/R4RK1 b kq - 3 18,d8e7,"Black plays d8e7 to defend the f7 pawn, which is under pressure from White's queen and bishop."
2k2bnr/ppp2ppp/8/3r4/8/2P4P/Pn2NPP1/RNB2K1R w - - 0 13,e2d4,White plays e2d4 to block the d-file; moving the bishop c1b2 would allow d5d1 checkmate.
r5r1/pp4k1/3qb2p/1Bbp4/1P5n/P1N5/2PQ1PP1/R4RK1 b - - 0 20,h4f3,Black plays h4f3; capturing with g2f3 allows a deadly discovered check/attack leading to mate.
3rr1k1/p3qppp/1pp5/3p1n2/2P3Q1/1P5R/PB3PPP/R5K1 w - - 0 26,g2g3,"White plays g2g3 (or similar luft) to prevent the back-rank mate threat e7e1, as the rook is overloaded."
r2qk1nr/p1pp1p1p/1pn1p1N1/8/2PP2P1/2P2Q2/P6P/R1B1KR2 b Qkq - 0 18,f7f6,Black plays f7f6 to block the f-file and prevent White's threatened f3f7 checkmate.
3r3k/6pp/1p3n2/p1p5/2B3P1/2Q5/PP5P/K2qR3 w - - 1 35,e1d1,White captures the black queen with e1d1 to remove the checkmate threat.
"5b1r/6pp/R3p1k1/3b4/P3rB2/8/1P3PPP/3R3K w - - 5 28",d1d5,"Captures the bishop on d5; the pawn on e6 cannot recapture due to the pin by the rook on a6."
"6k1/6p1/p6p/1p3N2/rP6/4r3/6PP/4R2K w - - 0 33",f5e3,"Captures the rook safely; capturing with the rook (e1e3) allows back-rank mate via a4a1."
"B3rQ1k/6pp/8/p3q2n/1p6/4B2P/8/R4RK1 b - - 1 30",e8f8,"Forced capture to escape check, though mate follows."
"6k1/5pp1/p2r3p/1pp1b3/8/1PPB3P/P1K1R1P1/8 b - - 1 29",c5c4,"Attacks the bishop; if d3c4, d6c6+ forks the King and Bishop, winning the piece."
"8/6k1/5rp1/7p/5K1P/6P1/3R4/8 w - - 4 45",f4e3,"Moves the King to safety; f4g5 is a blunder leading to forced mate via f6f5."
"4R2k/2p2rpp/8/3P4/3b4/2N4P/6P1/7K b - - 1 33",f7f8,"Forced move to block the check, leading to mate."
"rnbqkb1r/pp1np1p1/2pp1p1p/7Q/2PPP2B/2N5/PP3PPP/R3KBNR b KQkq - 1 7",g7g6,"Blocks the check from the Queen."
"r1bq1rk1/pp1nbppp/4p3/3pP3/5B2/3QP3/PPB2PPP/RN2K2R b KQ - 2 11",g7g6,"Blocks the c2-h7 diagonal to prevent the threatened checkmate."
"2R1qQ1k/pr4pp/8/8/4r3/PB6/KP3P1P/8 b - - 3 33",e8f8,"Forced capture to escape check, resulting in mate."
"5Q1k/2p3pp/p7/1p5/3P4/1P2P3/P2q1rPP/R4RK1 b - - 0 26",f2f8,"Forced capture to block the check."
